tim_1;tim_2;kondisi_team1_player1;kondisi_team1_player2;kondisi_team2_player1;kondisi_team2_player2;score
Eka/Angga;Wawo/Dennis;Cedera;Pemulihan;Sakit;Pemulihan;'2-0
David/Wawo;Wirawan/Dennis;Sehat;Sakit;Sakit;Cedera;'1-2
Eka/Wawo;Dennis/Arya;Cedera;Sehat;Cedera;Cedera;'0-2
Wirawan/Moel;Arya/Angga;Sehat;Cedera;Pemulihan;Sehat;'2-1
Angga/Wawo;Dennis/Moel;Pemulihan;Sakit;Sehat;Sehat;'0-2
Arya/Wirawan;Moel/Dennis;Cedera;Pemulihan;Pemulihan;Cedera;'1-2
Wirawan/Angga;Moel/Arya;Sehat;Pemulihan;Pemulihan;Sehat;'1-2
Arya/David;Angga/Wirawan;Cedera;Sakit;Pemulihan;Sehat;'2-0
Wawo/Moel;Wirawan/Arya;Sehat;Pemulihan;Sehat;Pemulihan;'2-1
Moel/Eka;David/Dennis;Pemulihan;Sakit;Sakit;Cedera;'1-2
David/Dennis;Eka/Moel;Sakit;Sakit;Sehat;Sakit;'2-1
Wirawan/Wawo;Angga/Arya;Sehat;Sehat;Cedera;Sakit;'1-2
Arya/Wawo;Moel/Angga;Sakit;Sakit;Cedera;Sakit;'0-2
Moel/Arya;Wirawan/Dennis;Cedera;Sakit;Pemulihan;Pemulihan;'2-1
David/Eka;Angga/Wirawan;Pemulihan;Pemulihan;Sehat;Pemulihan;'2-0
David/Wirawan;Eka/Wawo;Pemulihan;Sehat;Cedera;Pemulihan;'0-2
Wirawan/Moel;Wawo/Arya;Sehat;Sakit;Cedera;Sehat;'1-2
Moel/Angga;Dennis/Wirawan;Cedera;Sakit;Pemulihan;Sehat;'2-1
Eka/Arya;Angga/Wirawan;Sehat;Cedera;Sehat;Cedera;'2-0
Dennis/Arya;David/Wirawan;Pemulihan;Sehat;Pemulihan;Sakit;'2-0
Wawo/Wirawan;David/Arya;Sakit;Sakit;Pemulihan;Sakit;'2-0
Wawo/Wirawan;David/Arya;Cedera;Pemulihan;Sakit;Cedera;'2-1
Moel/Dennis;Arya/Eka;;Sakit;Cedera;Cedera;'2-1
Moel/Angga;Wirawan/Dennis;Sehat;Sehat;Sakit;Sakit;'2-1
Wawo/David;Arya/Angga;Sakit;Cedera;Cedera;Sehat;'1-2
Wawo/Angga;Arya/Eka;Sehat;Cedera;Cedera;Sehat;'0-2
Dennis/Angga;Wirawan/David;Pemulihan;Sehat;Cedera;Pemulihan;'2-1
Arya/Moel;Wawo/Wirawan;Sakit;Pemulihan;Sakit;Cedera;'1-2
David/Moel;Dennis/Angga;Sakit;Sehat;Sehat;Cedera;'0-2
Moel/Arya;Wirawan/Dennis;Sehat;Pemulihan;Sakit;Sehat;'0-2
Dennis/Wawo;Wirawan/Moel;Pemulihan;Cedera;Pemulihan;Sehat;'1-2
David/Eka;Wirawan/Dennis;Cedera;Pemulihan;Sehat;Pemulihan;'1-2
Dennis/David;Moel/Angga;Cedera;Pemulihan;Sehat;Pemulihan;'1-2
David/Arya;Dennis/Wawo;Cedera;Sakit;Cedera;Pemulihan;'2-0
Wirawan/Wawo;Arya/Dennis;Sehat;Cedera;Sakit;Sehat;'2-0
David/Moel;Arya/Wirawan;Cedera;Sehat;Pemulihan;Sakit;'2-1
Moel/Eka;Angga/Arya;Sehat;Pemulihan;Sakit;Sehat;'0-2
Wirawan/Dennis;Eka/Moel;Sakit;Sehat;Cedera;Cedera;'2-1
Angga/Wawo;Dennis/David;Sakit;Sehat;Pemulihan;Cedera;'2-1
Dennis/Eka;Arya/Angga;Sehat;Sakit;Pemulihan;Cedera;'2-1
Wirawan/Eka;Arya/Wawo;Sakit;Pemulihan;Pemulihan;Pemulihan;'2-0
Wirawan/Wawo;Dennis/Arya;Sehat;Sakit;Sehat;Sehat;'0-2
Arya/Angga;David/Dennis;Cedera;Cedera;Sehat;Sehat;'2-0
Eka/Dennis;Moel/Wawo;Cedera;Sehat;Pemulihan;Sehat;'2-1
Moel/David;Angga/Arya;Cedera;Sehat;Cedera;Sakit;'1-2
Moel/Dennis;Wirawan/Arya;Sakit;Cedera;Cedera;Sehat;'1-2
Wawo/Moel;Angga/Eka;Sehat;Pemulihan;Pemulihan;Cedera;'1-2
Wawo/Moel;Wirawan/Angga;Cedera;Pemulihan;Sehat;Sakit;'2-1
Moel/Arya;Wawo/Eka;Pemulihan;Sehat;Pemulihan;Pemulihan;'1-2
Moel/Angga;Dennis/Eka;Cedera;Sakit;Pemulihan;Sakit;'2-1
Wirawan/Dennis;Eka/Arya;Sehat;Cedera;Cedera;Sakit;'0-2
Arya/Eka;Moel/David;Sakit;Cedera;Cedera;Cedera;'1-2
Wirawan/Moel;Wawo/Arya;Sehat;Pemulihan;Pemulihan;Sakit;'2-1
Dennis/Angga;Eka/Wawo;Sakit;Pemulihan;Sakit;Sakit;'2-0
Arya/Moel;Angga/Dennis;Sehat;Sehat;Sakit;Pemulihan;'1-2
Wawo/Arya;Moel/Wirawan;Pemulihan;Cedera;Cedera;Sakit;'2-0
Dennis/Angga;Arya/David;Sakit;Sehat;Sehat;Sehat;'1-2
Moel/Angga;Wirawan/Dennis;Sakit;Sehat;Cedera;Sakit;'0-2
Dennis/Arya;Moel/David;Sehat;Sehat;Sakit;Sehat;'0-2
Wirawan/Angga;Wawo/Eka;Cedera;Pemulihan;Cedera;Sakit;'0-2
David/Dennis;Angga/Wirawan;Sakit;Sehat;Cedera;Sakit;'0-2
Wawo/Dennis;Moel/David;Sakit;Sehat;Sakit;Sakit;'0-2
Wirawan/David;Arya/Wawo;Pemulihan;Cedera;Sehat;Sehat;'2-0
Wawo/Dennis;David/Eka;Sakit;Pemulihan;Sakit;Sakit;'0-2
Wirawan/Angga;Wawo/Dennis;Pemulihan;Pemulihan;Sakit;Cedera;'2-0
Moel/Eka;Dennis/Angga;Sakit;Sehat;Cedera;Sehat;'1-2
Arya/Eka;Wirawan/David;Sehat;Sakit;Sakit;Cedera;'2-1
Angga/David;Eka/Arya;Pemulihan;Cedera;Pemulihan;Sehat;'0-2
Eka/Wawo;Moel/Arya;Sakit;Sakit;Pemulihan;Cedera;'1-2
Dennis/Moel;Eka/Angga;Pemulihan;Sakit;Cedera;Sehat;'1-2
Dennis/David;Moel/Wawo;Pemulihan;Pemulihan;Sehat;Sakit;'2-1
Wawo/Eka;David/Arya;Sehat;Sakit;Sehat;Pemulihan;'2-1
David/Wirawan;Dennis/Angga;Sakit;Sakit;Sakit;Sehat;'2-1
Wirawan/Eka;Dennis/Wawo;Sehat;Cedera;Sehat;Pemulihan;'0-2
Wirawan/Moel;Dennis/Angga;Pemulihan;Cedera;Sakit;Sakit;'2-0
Arya/Angga;Wirawan/Dennis;Sehat;Sakit;Cedera;Pemulihan;'1-2
Moel/Wirawan;Eka/David;Pemulihan;Sakit;Sehat;Cedera;'2-1
Eka/Dennis;Wirawan/Angga;Sehat;Sakit;Cedera;Cedera;'0-2
Arya/Angga;Dennis/Moel;Cedera;Pemulihan;Cedera;Pemulihan;'1-2
Moel/Eka;Dennis/Wirawan;Pemulihan;Cedera;Cedera;Pemulihan;'0-2
Dennis/Moel;David/Arya;Sehat;Sehat;Pemulihan;;'2-0
Wirawan/Moel;Wawo/Arya;Sehat;Pemulihan;Sakit;Cedera;'2-0
Wawo/Arya;Eka/Dennis;Cedera;Cedera;Pemulihan;Sehat;'0-2
Dennis/David;Moel/Eka;Sakit;Sakit;Sakit;Sakit;'0-2
Angga/David;Dennis/Moel;Sakit;Cedera;Sehat;Cedera;'0-2
David/Eka;Angga/Moel;Sehat;Sakit;Sehat;Sakit;'2-0
Arya/Eka;Wirawan/David;Pemulihan;Pemulihan;Pemulihan;Cedera;'1-2
Wawo/Moel;Dennis/Angga;Sehat;Pemulihan;Sakit;Sakit;'2-1
David/Angga;Eka/Wirawan;Sakit;Pemulihan;Cedera;Sakit;'0-2
Eka/Moel;Angga/Wawo;Cedera;Sehat;Cedera;Sakit;'2-0
Wawo/David;Moel/Arya;Sakit;Cedera;Sakit;Cedera;'0-2
Arya/Wirawan;Moel/Wawo;Sehat;Sakit;Sakit;Pemulihan;'0-2
Moel/Arya;Wirawan/Dennis;Pemulihan;Pemulihan;Cedera;Sehat;'1-2
Eka/Arya;Angga/Wirawan;Sehat;Sakit;Pemulihan;Cedera;'2-0
Wirawan/Eka;Moel/David;Sehat;Sehat;Pemulihan;Cedera;'2-1
Eka/Wirawan;Wawo/Dennis;Pemulihan;Cedera;Sakit;Cedera;'2-0
Dennis/David;Wirawan/Eka;Sakit;Pemulihan;Sakit;Cedera;'2-1
Eka/David;Moel/Arya;Sehat;Cedera;Sakit;Sehat;'0-2
Eka/David;Moel/Wirawan;Pemulihan;Sehat;Sakit;Cedera;'2-0
Wirawan/Eka;David/Arya;Pemulihan;Sehat;Sakit;Pemulihan;'2-1
Wirawan/Moel;Wawo/Arya;Sehat;Sehat;Sehat;Cedera;'2-1
Angga/David;Wawo/Eka;Cedera;Pemulihan;Cedera;Pemulihan;'0-2
Wirawan/Moel;Wawo/Dennis;Sakit;Sehat;Sakit;Pemulihan;'2-1
Eka/Wawo;Moel/Angga;Sakit;Sakit;Pemulihan;Sehat;'2-1
Angga/Dennis;Eka/Wawo;Sakit;Sakit;Pemulihan;Sehat;'2-0
Arya/David;Moel/Dennis;Cedera;Sakit;Pemulihan;Pemulihan;'0-2
Eka/Dennis;Wawo/Angga;Pemulihan;Cedera;Sehat;Sakit;'2-1
David/Moel;Arya/Angga;Cedera;Sehat;Cedera;Pemulihan;'1-2
Wirawan/Wawo;Arya/Angga;Sehat;Sehat;Sakit;Cedera;'1-2
Wirawan/Wawo;Arya/Angga;Pemulihan;Pemulihan;Sakit;Sehat;'0-2
Wawo/Moel;Eka/Wirawan;Cedera;Cedera;Sehat;Sakit;'1-2
Dennis/David;Arya/Eka;Sakit;Sakit;Sakit;Pemulihan;'2-0
Angga/Wirawan;Eka/David;Cedera;Sehat;Sakit;Sehat;'0-2
Angga/Wawo;Moel/Eka;Cedera;Sakit;Cedera;Pemulihan;
David/Wirawan;Dennis/Wawo;Cedera;Sehat;Sakit;Pemulihan;'2-1
Moel/Wawo;Eka/Arya;Cedera;Pemulihan;Pemulihan;Pemulihan;'2-0
David/Arya;Moel/Angga;Cedera;Cedera;Pemulihan;Sehat;'2-0
David/Wawo;Wirawan/Arya;Cedera;Cedera;Sehat;Cedera;'1-2
Arya/Angga;Wawo/Moel;Pemulihan;Cedera;Sakit;Pemulihan;'2-0
Wirawan/Moel;Angga/Dennis;Sehat;Sehat;Cedera;Cedera;'2-1
Wirawan/David;Arya/Eka;Sehat;Cedera;Sehat;Sehat;'2-1
Arya/Moel;Wirawan/Eka;Sakit;Sehat;Sehat;Sakit;'1-2
Wirawan/Moel;Arya/Dennis;Pemulihan;Sehat;Sakit;Pemulihan;'0-2
Dennis/Angga;Arya/Moel;Cedera;Cedera;Sakit;Sehat;'1-2
Angga/David;Moel/Eka;Sakit;Cedera;Sehat;Sakit;'1-2
Angga/David;Wawo/Eka;Pemulihan;Sakit;Sehat;Sakit;'2-0
Moel/Arya;Angga/Eka;Sakit;Sehat;Pemulihan;Pemulihan;'2-1
Wirawan/Arya;Dennis/David;Sehat;Sakit;Pemulihan;Sakit;'2-0
Arya/Dennis;Angga/Wawo;Sakit;Sehat;Sakit;Sehat;'0-2
Arya/Wirawan;Wawo/Dennis;Pemulihan;Cedera;Cedera;Pemulihan;'2-1
